"focal","cumulative_duration","n_fissionfusion_events"
1,87,9
2,1771,66
3,52,13
4,30,0
5,60,9
6,60,12
7,381,21
8,181,12
9,60,3
10,180,6
11,62,10
12,1056,84
13,74,9
14,181,15
15,20,2
16,688,31
17,991,97
18,1702,176
19,241,28
20,250,39
21,962,114
22,39,3
23,15,5
24,332,12
25,173,9
26,1728,152
27,250,16
28,679,22
29,120,11
30,240,32
31,628,82
32,24,0
33,669,94
34,180,18
35,60,11
36,15,0
37,22,0
38,21,4
39,543,42
40,10,5
41,756,49
42,405,37
43,10,0
44,29,3
45,628,51
46,35,0
47,106,19
48,460,26
49,156,29
50,121,0
51,126,17
52,10,1
53,62,23
54,62,3
55,300,20
56,150,4
57,18,2
58,465,11
59,60,11
60,121,17
61,181,4
62,286,24
63,10,5
64,30,4
65,12,0
66,12,2
67,349,25
