focal,sex,focal_observation_id,activity_category,num_points,num_obs,duration
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,TRAVEL,92,2,92
1,FEMALE,1,TRAVEL,92,2,92
1,FEMALE,1,TRAVEL,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,TRAVEL,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,TRAVEL,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,TRAVEL,92,2,92
1,FEMALE,1,TRAVEL,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,2,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,TRAVEL,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,2,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,TRAVEL,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,2,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,TRAVEL,92,2,92
1,FEMALE,1,TRAVEL,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,TRAVEL,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,2,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,2,REST,92,2,92
1,FEMALE,2,REST,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,2,REST,92,2,92
1,FEMALE,1,TRAVEL,92,2,92
1,FEMALE,2,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,2,REST,92,2,92
1,FEMALE,2,REST,92,2,92
1,FEMALE,2,REST,92,2,92
1,FEMALE,2,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,1,TRAVEL,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,1,REST,92,2,92
1,FEMALE,2,TRAVEL,92,2,92
1,FEMALE,2,REST,92,2,92
2,FEMALE,6,FORAGE,1773,15,1773
2,FEMALE,6,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,6,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,6,FORAGE,1773,15,1773
2,FEMALE,9,FORAGE,1773,15,1773
2,FEMALE,6,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,6,FORAGE,1773,15,1773
2,FEMALE,13,TRAVEL,1773,15,1773
2,FEMALE,6,FORAGE,1773,15,1773
2,FEMALE,6,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,9,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,9,FORAGE,1773,15,1773
2,FEMALE,9,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,9,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,6,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,9,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,13,TRAVEL,1773,15,1773
2,FEMALE,13,REST,1773,15,1773
2,FEMALE,13,TRAVEL,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,13,TRAVEL,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,6,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,5,FORAGE,1773,15,1773
2,FEMALE,5,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,9,FORAGE,1773,15,1773
2,FEMALE,7,TRAVEL,1773,15,1773
2,FEMALE,10,FORAGE,1773,15,1773
2,FEMALE,10,FORAGE,1773,15,1773
2,FEMALE,10,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,9,FORAGE,1773,15,1773
2,FEMALE,6,FORAGE,1773,15,1773
2,FEMALE,9,FORAGE,1773,15,1773
2,FEMALE,5,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,17,FORAGE,1773,15,1773
2,FEMALE,13,TRAVEL,1773,15,1773
2,FEMALE,10,FORAGE,1773,15,1773
2,FEMALE,10,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,5,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,9,FORAGE,1773,15,1773
2,FEMALE,7,FORAGE,1773,15,1773
2,FEMALE,7,REST,1773,15,1773
2,FEMALE,9,FORAGE,1773,15,1773
2,FEMALE,17,FORAGE,1773,15,1773
2,FEMALE,9,FORAGE,1773,15,1773
2,FEMALE,13,TRAVEL,1773,15,1773
2,FEMALE,13,REST,1773,15,1773
