"observation.id","group_sex","first.five.activity","group_size"
1,"All Female","Travel",1
2,"All Female","Forage",1
3,"All Female","Forage",1
4,"All Female","Forage",1
5,"All Female","Forage",1
6,"All Female","Forage",1
7,"All Male","Rest",1
8,"All Male","Forage",1
9,"All Male","Rest",1
10,"All Female","Forage",1
11,"All Male","Forage",1
12,"All Female","Forage",1
13,"All Male","Forage",1
14,"All Female","Forage",1
15,"All Female","Forage",1
16,"All Female","Forage",1
17,"All Female","Other",1
18,"All Female","Forage",1
19,"All Female","Forage",1
20,"All Female","Forage",1
21,"All Female","Other",1
22,"Mixed","Forage",2
23,"All Female","Other",1
24,"All Male","Forage",1
25,"All Male","Travel",1
26,"All Female","Forage",1
27,"All Female","Forage",1
28,"All Female","Forage",1
29,"All Female","Forage",1
30,"All Female","Forage",1
31,"All Female","Forage",1
32,"All Female","Forage",1
33,"All Female","Forage",1
34,"All Male","Forage",1
35,"All Male","Forage",1
36,"All Female","Forage",1
37,"All Male","Forage",1
38,"All Male","Forage",1
39,"All Female","Forage",1
40,"All Female","Rest",1
41,"All Female","Forage",1
42,"All Male","Forage",1
43,"All Male","Forage",1
44,"All Male","Forage",1
45,"All Male","Forage",1
46,"All Male","Rest",2
47,"All Male","Forage",1
48,"All Female","Rest",1
49,"All Male","Forage",1
50,"All Female","Forage",1
51,"All Male","Forage",1
52,"All Female","Forage",2
53,"All Female","Forage",1
54,"All Male","Social",2
55,"All Male","Forage",1
56,"All Male","Rest",1
57,"All Male","Rest",1
58,"All Male","Forage",1
59,"All Male","Forage",1
60,"All Male","Travel",1
61,"All Male","Forage",1
62,"All Male","Travel",1
63,"All Male","Forage",1
64,"All Male","Forage",1
65,"All Male","Forage",1
66,"All Male","Forage",1
67,"All Male","Travel",1
68,"All Male","Rest",1
69,"All Female","Forage",1
70,"All Male","Rest",1
71,"All Female","Travel",2
72,"All Male","Travel",1
73,"All Male","Travel",1
74,"All Male","Rest",2
75,"All Female","Forage",1
76,"All Female","Forage",1
77,"All Female","Forage",1
78,"All Male","Forage",1
79,"All Female","Forage",1
80,"All Female","Travel",1
81,"All Female","Forage",1
82,"All Male","Forage",1
83,"All Female","Travel",1
84,"All Female","Forage",1
85,"All Female","Rest",1
86,"All Female","Rest",1
87,"All Female","Rest",1
88,"All Male","Rest",1
89,"All Male","Travel",1
90,"All Female","Travel",1
91,"All Female","Forage",1
92,"All Female","Forage",1
93,"All Female","Travel",1
94,"All Female","Rest",1
95,"All Female","Forage",1
96,"All Female","Rest",1
97,"All Female","Rest",1
98,"All Male","Forage",1
99,"All Male","Forage",1
100,"All Female","Forage",1
101,"All Male","Travel",1
102,"All Female","Forage",1
103,"All Male","Travel",1
104,"All Female","Rest",1
105,"All Female","Forage",1
106,"All Male","Forage",1
107,"All Male","Forage",1
108,"All Female","Forage",1
109,"All Male","Social",2
110,"All Male","Travel",1
111,"All Female","Forage",1
112,"All Female","Forage",2
113,"Mixed","Social",3
114,"All Male","Forage",1
115,"All Male","Forage",1
116,"All Male","Rest",1
117,"All Male","Forage",1
118,"All Male","Forage",1
119,"All Male","Forage",1
120,"All Male","Forage",1
121,"All Female","Forage",1
122,"All Male","Forage",1
123,"All Female","Forage",2
124,"All Female","Forage",1
125,"All Female","Forage",1
126,"All Female","Forage",1
127,"All Male","Forage",3
128,"All Female","Forage",1
129,"All Female","Rest",2
130,"All Male","Forage",1
131,"All Female","Forage",3
132,"Mixed","Forage",2
133,"All Female","Forage",1
134,"All Female","Forage",1
135,"All Male","Rest",2
136,"All Female","Forage",1
137,"All Male","Forage",1
138,"All Female","Forage",1
139,"All Female","Forage",1
140,"All Female","Forage",1
141,"All Male","Forage",2
142,"All Male","Forage",1
143,"All Male","Travel",2
144,"All Male","Forage",1
145,"All Female","Forage",1
146,"All Female","Forage",1
147,"All Female","Forage",1
148,"Mixed","Travel",2
149,"All Male","Forage",1
150,"All Female","Rest",1
151,"All Female","Forage",1
152,"All Female","Forage",1
153,"All Male","Forage",1
154,"All Male","Travel",1
155,"All Male","Forage",1
156,"All Male","Forage",1
157,"All Female","Forage",1
